"","name","street","city"
"310","Dodo Pizza","6155 Poplar Ave","Memphis, TN, 38119"
"311","Belly Acres","2102 Trimble Place","Memphis, TN, 38104"
"312","Cook-Out Restaurant","7970 U.S. 64","Memphis, TN, 38133"
"313","Osaka Japanese Cuisine","2200 North Germantown Parkway","Memphis, TN, 38016"
"314","Mariscos El Quetzal","5855 Winchester Road","Memphis, TN, 38115"
"315","Popeyes","1370 Union Ave","Memphis, TN, 38104"
"316","Roxie's Grocery","520 North 3rd Street","Memphis, TN, 38105"
"317","Wild Wings Station","7190 Winchester Road","Memphis, TN, 38125"
"318","Perignons Restaurant & Event Center","6385 Winchester Road","Memphis, TN, 38115"
"319","Lil Anthony's","341 Beale Street","Memphis, TN, 38103"
"320","Ms. P's Fill'n Station","3804 Winchester Rd","Memphis, TN, 38118"
"321","Old Whitten Tavern","2465 Whitten Rd","Memphis, TN, 38133"
"322","Fish Fila","4730 Riverdale Road","Memphis, TN, 38141"
"323","Castle Restaurant","3992 Park Avenue","Memphis, TN, 38111"
"324","Lynchburg Legends","5069 Sanderlin Avenue","Memphis, TN, 38117"
"325","Coney Island","2351 Elvis Presley Boulevard","Memphis, TN, 38106"
"326","Cox Corner Market","8553 Macon Rd","Memphis, TN, 38018"
"327","Guthrie's Chicken (Dexter Rd)","8075 Dexter Rd","Memphis, TN, 38016"
"328","American Deli","3543 South Mendenhall Road","Memphis, TN, 38115"
"329","Stax Wings (4612 Winchester Rd)","4612 Winchester Rd","Memphis, TN, 38118"
"330","Popeyes","6546 Winchester Rd","Memphis, TN, 38115"
"331","RAWK'n Grub","1909 Poplar Avenue","Memphis, TN, 38104"
"332","Robilios Sidecar Cafe","2194 Whitten Road","Memphis, TN, 38133"
"333","Lennys Grill & Subs","153 S Main St","Memphis, TN, 38103"
"334","Dunkin'","775 N Germantown Pkwy","Memphis, TN, 38018"
"335","Popeyes","4201 Hacks Cross Rd","Memphis, TN, 38125"
"336","Ono Poke","3145 Poplar Ave","Memphis, TN, 38111"
"337","Twinique Cakes","6870 Hillshire Drive","Memphis, TN, 38133"
"338","Starbucks","540 South Mendenhall Road","Memphis, TN, 38117"
"339","Popeyes","2153 Frayser Blvd","Memphis, TN, 38127"
"340","Popeyes","3795 E Shelby Dr","Memphis, TN, 38118"
"341","Rockhouse Live Midtown","2586 Poplar Ave","Memphis, TN, 38112"
"342","C-Lou Patton House Of The Finest Quiches","648 Marshall Ave","Memphis, TN, 38103"
"343","The Liquor Store","2655 Broad Avenue","Memphis, TN, 38112"
"344"," Firehouse Subs 771","1571 Union Ave","Memphis, TN, 38104"
"345","La Michoacana","2733 Getwell Road","Memphis, TN, 38118"
"346","Vernon's Smokehouse","3734 Elvis Presley Boulevard","Memphis, TN, 38116"
"347","Wendy's","1593 Union Ave","Memphis, TN, 38104"
"348","Pancake Shop","4838 Summer Avenue","Memphis, TN, 38122"
"349","Hu. Diner","3 South Main Street","Memphis, TN, 38103"
"350","Dave & Buster's","2751 Wolf Creek Parkway","Memphis, TN, 38133"
"351","Society Skatepark & Coffee Inc.","583 Scott Street","Memphis, TN, 38112"
"352","Patrick's Neighborhood Bar & Patio","4972 Park Avenue","Memphis, TN, 38117"
"353","Memphis Popcorn and Treats","3566 Walker Avenue","Memphis, TN, 38111"
"354","Taqueria Guadalupana","3160 Austin Peay Highway","Memphis, TN, 38128"
"355","Hugstable Sports Bar & Grill","813 Jackson Avenue","Memphis, TN, 38107"
"356","Five Guys","2100 Union Ave","Memphis, TN, 38104"
"357","G's Place","143 Madison Avenue","Memphis, TN, 38103"
"358","Sing Lay Chinese Restaurant","2684 Frayser Boulevard","Memphis, TN, 38127"
"359","Mi Mexico","3816 East Shelby Drive","Memphis, TN, 38118"
"360","Miss Polly's Soul Food Cafe","154 Beale Street","Memphis, TN, 38103"
"361","TCBY","7990 US-64","Memphis, TN, 38133"
"362","The Cove","2559 Broad Avenue","Memphis, TN, 38112"
"363","Cafe Ole","959 Cooper Street","Memphis, TN, 38104"
"364","Kublai Khan","7733 Winchester Rd","Memphis, TN, 38125"
"365","Ms. D's Wings","1806 Lamar Avenue","Memphis, TN, 38114"
"366","Thats It Wings & Subs","3392 North Watkins Street","Memphis, TN, 38127"
"367","Red Snapper Memphis","2636 Frayser Blvd Ste 102","Memphis, TN, 38127"
"368","18 Wayz Wingz & Thingz","1621 Getwell Rd","Memphis, TN, 38111"
"369","Jack Pirtle's Chicken","890 Thomas Street","Memphis, TN, 38107"
"370","Payne's Bar-B-Q","1762 Lamar Avenue","Memphis, TN, 38114"
"371","Crab Island","1014 N Germantown Pkwy","Memphis, TN, 38018"
"372","Lennys Grill & Subs","2491 Winchester Road","Memphis, TN, 38116"
"373","American Deli","7041 E Shelby Dr #109","Memphis, TN, 38125"
"374","Burger King","2209 Frayser Blvd","Memphis, TN, 38127"
"375","JJ Fish & Chicken","5849 Summer Ave","Memphis, TN, 38134"
"376","Pop's Deli","6749 East Shelby Drive","Memphis, TN, 38141"
"377","Captain D's","7112 US Highway 64","Memphis, TN, 38133"
"378","Jr Fish and Chicken","3196 Austin Peay Highway","Memphis, TN, 38128"
"379","Juice Bar","1350 Concourse Avenue","Memphis, TN, 38104"
"380","Pasqually's Pizza & Wings","3649 Hickory Hill Rd","Memphis, TN, 38115"
"381","La Casa Del Chapin Mexican Restaurant","4212 Winchester Rd","Memphis, TN, 38118"
"382","The Choo","3045 Southern Avenue","Memphis, TN, 38111"
"383","Jack Pirtles","2520 Mount Moriah Road","Memphis, TN, 38115"
